Ticker,Date,Open,High,Low,Close,Realised_Vol_Close_30,Realised_Vol_Close_60,Realised_Vol_Close_100,Realised_Vol_Close_180,Realised_Vol_Close_252,Vol_of_Vol_100d,Vol_of_Vol_100d_Percentile,Kurtosis_100d
PI,2021-05-28,52.279998779296875,53.470001220703125,51.75,52.04999923706055,88.73273107718835,73.23177071777558,80.05628630387488,70.77983372114193,68.2456275701793,5.69,86.0,1.55
PI,2021-06-01,52.5099983215332,52.95500183105469,51.349998474121094,52.630001068115234,86.98870480997752,73.22372281875319,79.87902934660194,70.77958946043992,68.16883994146707,5.42,85.0,1.2
PI,2021-06-02,52.560001373291016,53.0099983215332,51.27000045776367,51.91999816894531,86.71137496213558,72.69699675710213,79.90962787168877,70.76612883415608,68.18529549352108,5.11,85.0,0.39
PI,2021-06-03,51.459999084472656,51.56999969482422,49.56999969482422,49.630001068115234,86.93362711674688,72.78193456972649,79.90644538344334,70.91905626616733,68.27911594550537,4.79,84.0,-1.05
PI,2021-06-04,50.16999816894531,52.150001525878906,49.61000061035156,50.02000045776367,86.98587752574257,72.60938681206558,69.94804261256984,70.8888993989965,68.22935029294864,4.74,34.0,-1.04
PI,2021-06-07,50.0099983215332,50.650001525878906,49.36000061035156,50.38999938964844,86.36909166556957,70.89390007793887,69.93811671666705,70.8583317208842,67.99695378794752,4.69,33.0,-1.03
PI,2021-06-08,50.880001068115234,51.64099884033203,49.83000183105469,50.58000183105469,85.85491181225711,70.85642945802117,69.89659160620396,70.85530847802417,67.97408991164758,4.64,32.0,-1.02
PI,2021-06-09,50.75,51.25,49.58000183105469,49.630001068115234,85.96420908655234,70.76599914806754,69.58944607540136,70.41348959464008,67.43630951232937,4.59,26.0,-1.02
PI,2021-06-10,49.95000076293945,50.77000045776367,48.86000061035156,49.029998779296875,85.60563899021231,70.72838639490698,69.40089312575853,70.39724024620656,67.44137678596137,4.55,24.0,-1.02
PI,2021-06-11,49.29999923706055,49.81999969482422,49.029998779296875,49.790000915527344,58.00407970019085,70.56556196766677,69.28068639273025,70.20864938642919,66.70486768772822,4.51,23.0,-1.02
PI,2021-06-14,50.18899917602539,51.150001525878906,49.630001068115234,50.65999984741211,58.07515547939237,69.76630925836383,69.07609881528037,70.20072947081682,66.42089130859733,4.47,21.0,-1.02
PI,2021-06-15,51.029998779296875,51.987998962402344,49.31999969482422,50.13999938964844,53.44226114027051,69.77086115478187,68.94451063962836,70.2023122255402,66.43147392590797,4.44,19.0,-1.02
PI,2021-06-16,50.189998626708984,50.939998626708984,48.439998626708984,50.380001068115234,53.08611421676021,69.58733381525262,68.88115233220793,70.04064788175951,66.15521516154821,4.4,18.0,-1.03
PI,2021-06-17,49.84000015258789,51.2400016784668,49.09000015258789,50.310001373291016,52.89811706191718,68.04707365704155,68.86101641673088,70.03457626654465,66.07061663546348,4.36,17.0,-1.04
PI,2021-06-18,49.36000061035156,50.29999923706055,48.93000030517578,49.880001068115234,51.58208670791019,67.77602397536158,68.1751678364019,70.04396978383517,66.0620462614879,4.35,4.0,-1.05
PI,2021-06-21,49.54999923706055,50.25,48.880001068115234,49.13999938964844,49.37791067210181,67.74382121281081,68.15242575566195,69.4247443048116,66.08053684944042,4.33,3.0,-1.05
PI,2021-06-22,49.09000015258789,49.52000045776367,48.34000015258789,49.459999084472656,36.9294528155884,67.72190783283853,68.16265754303036,69.4190084844842,66.08190904440724,4.31,3.0,-1.06
PI,2021-06-23,49.59000015258789,51.43000030517578,49.59000015258789,50.970001220703125,37.78522397996386,66.98906186870424,67.37192590213976,69.47400052259788,66.13714851291739,4.32,1.0,-1.05
PI,2021-06-24,51.630001068115234,53.0,51.599998474121094,52.939998626708984,33.752049491887846,67.09224947284068,67.06273987635217,69.59417067654384,66.12392867348373,4.34,1.0,-1.05
PI,2021-06-25,53.099998474121094,53.63999938964844,52.41999816894531,52.560001373291016,33.671170530149766,66.45960801061385,66.64856684525894,69.55336379232348,66.12835623582464,4.37,1.0,-1.04
PI,2021-06-28,52.68000030517578,53.400001525878906,52.099998474121094,52.970001220703125,30.445460874991575,66.03085559747967,66.66040416669841,69.55549330550934,65.83382222989412,4.39,2.0,-1.04
PI,2021-06-29,53.02000045776367,54.04999923706055,52.56999969482422,52.68000030517578,29.575811655580388,65.96703013732458,66.40163238449044,69.5591647217512,65.75711613351329,4.42,1.0,-1.03
PI,2021-06-30,52.61000061035156,53.29999923706055,51.59000015258789,51.59000015258789,30.150304711391218,65.89449032380716,66.27129682155946,69.58157874532426,65.73587971608072,4.46,1.0,-1.02
PI,2021-07-01,51.59000015258789,51.9900016784668,49.38999938964844,49.880001068115234,31.755382094172084,65.69594489290088,66.17950001382191,69.62448527667348,65.77793172311117,4.49,1.0,-1.02
PI,2021-07-02,50.29999923706055,50.790000915527344,49.439998626708984,50.5099983215332,30.958152851151382,65.40660380022244,66.21267528867808,69.62911941620456,65.77839910848975,4.52,2.0,-1.01
PI,2021-07-06,51.56100082397461,51.56100082397461,48.84000015258789,50.43000030517578,30.96592378298886,65.39307036140511,66.21262719888162,69.59392815956758,65.77197477815906,4.55,2.0,-1.01
PI,2021-07-07,50.66999816894531,50.66999816894531,47.459999084472656,47.59000015258789,33.29027934724006,66.34007439476547,65.10554596637536,69.9548997773469,66.03377429376181,4.61,1.0,-1.0
PI,2021-07-08,46.119998931884766,47.459999084472656,45.5,46.849998474121094,33.23833901568989,66.37509399697953,65.13077272150768,69.95772610161633,66.03454620996699,4.66,2.0,-0.99
PI,2021-07-09,47.279998779296875,47.88999938964844,46.68000030517578,47.31999969482422,32.06064526551125,66.42002260775067,64.95409614656668,69.9598505189663,65.5966123907611,4.72,1.0,-0.98
PI,2021-07-12,47.40999984741211,47.78900146484375,46.65999984741211,47.279998779296875,31.745080533127457,66.07300173479828,64.91750100750247,69.95235593229182,65.59698638013487,4.76,1.0,-0.97
PI,2021-07-13,46.91999816894531,46.91999816894531,45.459999084472656,45.59000015258789,33.15463681954429,66.42280063519112,64.78790067487678,69.96190098415735,65.42379527117474,4.82,1.0,-0.97
PI,2021-07-14,46.27000045776367,46.56999969482422,45.040000915527344,45.81999969482422,32.95466047255658,65.30556573711597,64.20522316310439,69.94488114454114,65.41503389626175,4.89,1.0,-0.96
PI,2021-07-15,45.5,45.5,43.2400016784668,43.599998474121094,35.37757044438497,65.82803442468233,64.05613645598389,70.17160115462217,65.5437763028026,4.96,1.0,-0.96
PI,2021-07-16,44.2599983215332,44.470001220703125,41.52000045776367,41.7599983215332,35.189711163114445,65.79923510691039,64.26669343990628,70.34606031893264,65.65783817974636,5.03,3.0,-0.97
PI,2021-07-19,40.880001068115234,41.439998626708984,39.689998626708984,40.11000061035156,36.322832574717395,66.21374427117472,64.43944402684119,70.22836013522225,65.70696982262574,5.09,4.0,-0.99
PI,2021-07-20,40.099998474121094,42.630001068115234,39.880001068115234,42.18000030517578,39.80274537812134,66.71019493091195,63.84419317388538,70.44995293638888,65.69366056105599,5.16,1.0,-1.0
PI,2021-07-21,42.5,44.34000015258789,42.47999954223633,44.0099983215332,42.13439856170101,67.05177149147119,64.10519633198484,69.92570919882361,65.80963538009048,5.23,3.0,-1.02
PI,2021-07-22,43.95000076293945,43.95000076293945,42.584999084472656,43.060001373291016,42.226986098473645,67.14743893619233,63.9213215648928,69.86754296701477,65.8418436963471,5.3,2.0,-1.05
PI,2021-07-23,43.25,43.869998931884766,42.474998474121094,43.22999954223633,42.23869779474729,66.93549428053733,63.62049374267552,69.35283796663903,65.7908931784781,5.38,1.0,-1.07
