Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
BB,3.97,3.95,3.93,4.05,"22,302",0.0,5.87,39.64,88.08,-1.13,16.93,-48.44,111.33,"345,236",6.18,10.2,,73 of 371,78 of 371
UBER,98.85,95.8,95.52,98.86,"132,709",0.0,3.56,31.53,48.98,7.58,0.71,-28.33,28.31,"1,541,301",2.31,1.32,,21 of 371,21 of 371
SMTC,62.63,60.3,59.71,62.94,"2,646",0.0,1.71,55.53,118.62,47.56,37.96,-3.29,-3.29,"42,481",0.53,1.96,,200 of 371,193 of 371
DBX,31.87,30.87,30.86,31.91,"4,208",0.0,2.15,22.15,77.51,78.77,89.28,-3.31,-46.1,"77,510",-0.05,3.51,,165 of 371,157 of 371
FVRR,22.93,23.84,22.1,24.4,"2,511",0.0,-3.13,41.19,57.13,-3.58,4.41,-40.86,17.17,"31,499",4.34,7.2,,205 of 371,217 of 371
HASI,28.37,28.14,27.62,28.37,"3,193",0.0,2.72,34.66,352.4,24.21,455.35,1.49,-51.44,"31,721",-0.09,-2.87,,186 of 371,216 of 371
AFRM,89.43,84.11,84.11,89.61,"63,503",0.0,1.14,65.76,75.29,-1.56,10.18,-57.18,11.62,"541,685",4.33,6.3,,36 of 371,55 of 371
SPR,38.73,38.7,38.44,39.1,"3,821",0.0,-5.24,20.0,41.6,27.64,-9.36,-0.96,-0.16,"41,182",0.21,0.24,,171 of 371,196 of 371
ORA,91.75,91.33,90.77,92.26,734,0.0,1.65,22.5,109.54,8.51,200.54,0.96,-6.02,"37,693",0.02,0.46,,290 of 371,204 of 371
BBIO,51.47,51.08,49.94,51.48,"2,412",0.0,-3.79,41.22,68.73,-11.4,4.7,-26.33,-61.8,"79,592",0.28,3.07,,208 of 371,155 of 371
SENS,0.45,0.47,0.44,0.47,"1,197",0.0,1.78,53.76,247.48,28.27,49.34,-34.45,66.02,"94,989",0.62,3.69,,256 of 371,142 of 371
EXAS,53.43,53.98,53.21,54.51,"2,780",0.0,-3.57,40.18,57.91,-0.86,0.52,-11.21,-15.32,"57,137",1.55,3.38,,196 of 371,180 of 371
HOPE,10.88,10.97,10.85,11.01,18,0.0,-1.09,27.92,283.02,-21.97,60.31,0.0,5.88,301,0.33,1.35,,362 of 371,361 of 371
GH,54.79,54.55,53.77,55.24,"5,814",0.0,-7.82,53.11,83.41,-4.81,22.63,-15.57,-47.35,"62,917",0.14,4.14,,153 of 371,175 of 371
LAZR,2.13,1.91,1.9,2.2,"60,374",0.0,24.56,89.98,167.42,18.0,12.95,17.33,1355.5,"241,803",10.48,14.79,,37 of 371,95 of 371
VRNS,56.19,56.47,55.87,56.93,317,0.0,-2.04,27.07,82.76,26.71,56.88,9.31,10.45,"6,954",0.0,0.3,,328 of 371,293 of 371
GCI,4.37,4.25,4.24,4.41,"1,057",0.0,6.59,43.26,60.8,-0.05,-3.43,-7.04,-36.48,"15,691",0.76,1.23,,267 of 371,251 of 371
CAMT,87.65,87.35,87.12,88.49,"1,188",0.0,5.95,46.57,188.21,0.28,259.68,5.04,43.31,"22,408",0.32,2.72,,257 of 371,228 of 371
ASRT,0.8,0.8,0.8,0.82,384,0.0,0.51,46.78,102.76,-1.27,-38.66,64.1,3.23,"21,647",0.32,1.54,,322 of 371,232 of 371
Z,87.12,88.5,86.24,88.5,"9,895",0.0,-0.08,33.38,54.93,9.35,20.92,-12.2,-28.09,"172,639",2.28,5.0,,120 of 371,109 of 371
BA,215.75,216.25,214.07,217.26,"79,876",0.0,-6.0,27.71,47.89,-1.03,16.47,-17.65,48.77,"1,120,361",2.84,6.37,,29 of 371,26 of 371
PTON,8.19,7.62,7.62,8.21,"24,590",0.0,3.15,72.19,82.81,6.06,1.7,-53.57,61.45,"624,898",2.37,2.03,,68 of 371,51 of 371
BKNG,5559.83,5500.0,5424.0,5560.0,"8,287",0.0,-0.22,20.07,113.27,7.7,190.25,2.25,-15.37,"34,289",1.79,4.05,,131 of 371,210 of 371
PCRX,26.86,27.04,26.22,27.5,210,0.0,2.13,34.14,70.73,0.92,12.25,0.48,-11.39,"2,280",0.09,1.33,,338 of 371,330 of 371
MAXN,4.05,3.84,3.75,4.18,749,0.0,1.5,99.34,434.6,166.23,24.47,-21.24,-17.69,"50,395",0.03,0.19,,285 of 371,185 of 371
BXMT,19.52,19.63,19.4,19.68,"1,481",0.0,-1.76,19.97,268.09,-5.3,540.39,-19.6,-22.74,"76,126",-0.16,0.25,,241 of 371,159 of 371
NET,226.01,220.57,220.51,229.53,"11,229",0.0,3.41,37.11,68.95,4.66,29.24,-21.87,6.02,"194,401",1.74,2.4,,116 of 371,103 of 371
F,11.68,11.74,11.61,11.75,"109,414",0.0,1.65,24.14,258.98,2.8,450.83,5.86,-19.27,"3,610,957",0.5,1.04,,25 of 371,6 of 371
JD,33.62,34.19,33.37,34.32,"510,544",0.0,-0.74,32.58,198.4,1.23,301.75,60.83,3.85,"2,320,225",4.65,35.09,,5 of 371,16 of 371
PENN,18.83,19.85,18.82,19.85,"4,995",0.0,-6.13,40.32,75.09,18.02,15.51,-23.79,-49.06,"215,719",0.53,0.63,,157 of 371,99 of 371
BSY,52.66,52.9,52.59,53.27,"1,806",0.0,-1.59,21.18,62.66,8.01,99.76,15.7,177.42,"66,474",-0.03,2.35,,228 of 371,168 of 371
SO,92.28,92.01,91.56,92.4,"8,974",0.0,1.17,14.84,216.41,6.67,880.47,143.13,61.14,"96,533",0.36,1.68,,126 of 371,141 of 371
CNP,38.29,38.34,38.22,38.56,"2,307",0.0,2.0,15.59,155.99,-1.04,527.41,-24.16,-1.16,"39,278",0.09,0.95,,212 of 371,201 of 371
MSTR,327.79,329.39,320.45,331.33,"326,806",0.0,-0.23,49.1,79.95,-18.08,-2.49,-4.93,10.4,"2,692,004",2.12,-2.27,,12 of 371,11 of 371
HLIT,10.0,9.94,9.92,10.19,537,0.0,0.91,37.24,48.84,2.4,-5.5,9.59,12.34,"4,148",0.19,3.29,,307 of 371,309 of 371
UPHL,0.0,0.0,0.0,0.0,N/A,0.0,0.0,91.49,,,,,,N/A,,,,367 of 371,367 of 371
DNMR,0.35,0.35,0.35,0.35,287,0.0,0.0,0.0,389.69,0.39,2.61,0.0,0.0,"21,238",0.0,0.0,,331 of 371,235 of 371
ITRI,120.17,119.32,119.15,120.61,463,0.0,1.19,26.41,47.9,6.87,1.25,0.22,-5.51,"2,989",0.17,3.64,,312 of 371,322 of 371
MARA,16.24,16.24,15.57,16.35,"536,971",0.0,1.95,63.67,95.8,15.75,20.88,107.88,190.87,"2,688,817",3.82,5.91,,4 of 371,12 of 371
ZS,285.66,284.5,283.61,289.58,"10,881",0.0,1.19,30.96,57.92,19.22,20.31,-5.79,-12.43,"142,080",1.8,-2.37,,117 of 371,118 of 371
PDD,127.39,126.13,124.51,128.59,"133,311",0.0,1.06,37.16,43.51,0.12,13.37,-11.57,5.55,"1,988,978",2.29,7.65,,20 of 371,19 of 371
RIVN,13.6,13.64,13.38,13.74,"201,897",0.0,-2.44,43.38,71.39,-0.26,0.57,89.37,194.17,"2,907,385",0.51,2.22,,17 of 371,10 of 371
BFH,63.88,63.25,62.9,64.65,"1,360",0.0,-0.53,34.79,134.34,14.12,141.29,4.62,-60.18,"6,742",0.21,3.58,,248 of 371,295 of 371
SMCI,45.38,45.23,44.2,45.77,"125,692",0.0,5.73,74.89,71.28,2.8,2.59,-31.37,-65.37,"2,419,371",2.0,2.37,,22 of 371,15 of 371
HTHT,36.83,37.31,36.57,37.49,"14,106",0.0,-1.02,27.22,357.78,16.53,193.43,-0.06,-2.08,"13,491",0.16,0.21,,101 of 371,257 of 371
