Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Skew 90 Moneyness 3m,Skew 80 Moneyness 3m,Skew 70 Moneyness 3m,Skew 90 Moneyness Vol 3m,Skew 80 Moneyness Vol 3m,Skew 70 Moneyness Vol 3m,IV Slope Call 90 3m,IV Slope Put 90 3m,IV Slope Call 80 3m,IV Slope Put 80 3m,IV Slope Call 70 3m,IV Slope Put 70 3m,Volume Rank,Open Interest Rank
ZTO,19.24,,,,"1,124",,,33.48,2.88,63.51,-98.81,19.57,,"41,626",0.15,,0.9,0.55,0.58,0.61,0.6,0.59,0.58,-0.56,1.95,-0.59,1.7,-0.62,1.63,251 of 370,187 of 370
STWD,19.98,,,,"12,171",,,16.72,2.43,-27.45,-99.37,1.15,,"138,826",2.16,,,,,,,,,,,,,,,99 of 370,113 of 370
LNT,65.2,,,,334,,,16.22,1.43,10.04,-99.25,-8.49,,"2,702",5.26,,,,,,,,,,,,,,,320 of 370,322 of 370
UPST,56.93,,,,"152,143",,,73.64,0.83,-5.11,-99.14,-0.69,,"474,252",0.06,,1.0,1.1,1.18,1.28,1.0,1.0,0.99,0.04,0.02,0.02,0.02,0.01,0.03,24 of 370,55 of 370
JPM,313.45,,,,"49,905",,,16.75,2.27,46.22,-98.85,-3.81,,"708,700",1.21,,1.0,,,,,,,-0.0,-3.15,-0.0,-2.52,-0.0,-1.82,50 of 370,40 of 370
SOFI,28.12,,,,"305,468",,,45.51,0.69,-3.46,-99.35,21.02,,"3,680,057",1.42,,1.03,1.1,1.19,1.29,1.0,1.0,1.0,0.01,0.08,0.02,0.08,0.02,0.09,12 of 370,5 of 370
CDP,29.27,,,,89,,,17.21,,,,-30.47,,499,0.4,,,,,,,,,,,,,,,353 of 370,358 of 370
LITE,159.11,,,,"6,198",,,45.03,0.72,9.73,-99.07,-47.8,,"59,824",7.84,,0.97,1.11,1.2,1.3,0.95,0.9,0.85,-0.57,-0.23,-0.78,-0.33,-1.08,-0.43,137 of 370,165 of 370
GRPN,22.56,,,,"9,303",,,81.86,0.78,0.5,-99.23,6.5,,"132,767",8.81,,0.97,,,,,,,-0.02,0.24,-0.02,0.24,-0.02,0.24,120 of 370,117 of 370
INSG,14.09,,,,"1,153",,,67.71,,,,1.41,,"5,544",1.48,,,,,,,,,,,,,,,248 of 370,290 of 370
BB,4.65,,,,"116,958",,,42.3,0.62,-45.73,-99.29,83.16,,"407,279",9.71,,0.96,1.1,1.19,1.29,1.02,1.04,1.07,-0.46,-0.37,-0.52,-0.33,-0.57,-0.28,27 of 370,64 of 370
MOMO,7.4,,,,821,,,38.56,0.47,10.65,-99.01,-63.22,,"41,295",0.64,,,,,,,,,,,,,,,266 of 370,188 of 370
XYZ,73.68,,,,"45,588",,,40.54,0.53,3.79,-99.02,53.28,,"601,287",0.21,,1.01,1.1,1.2,1.3,1.04,1.05,1.06,-0.03,0.07,-0.04,0.09,-0.06,0.1,53 of 370,49 of 370
WKC,26.09,,,,35,,,24.12,1.64,-35.18,-99.25,2.94,,439,0.0,,,,,,,,,,,,,,,360 of 370,359 of 370
GTLS,200.08,,,,750,,,41.25,,,,-28.57,,"5,632",0.05,,,,,,,,,,,,,,,274 of 370,289 of 370
NCLH,25.0,,,,"15,320",,,42.39,0.5,2.77,-99.29,-4.98,,"368,085",0.87,,1.01,1.11,1.2,1.31,1.02,1.02,1.03,0.0,-0.04,0.01,-0.04,0.02,-0.05,87 of 370,67 of 370
AMD,161.27,,,,"590,451",,,42.21,0.57,7.36,-98.88,-1.23,,"3,688,556",1.98,,0.98,1.11,1.2,1.31,0.98,0.99,0.99,0.03,0.01,0.04,0.01,0.05,0.01,5 of 370,4 of 370
GDS,42.07,,,,"10,109",,,67.11,0.86,-1.24,-99.35,-70.36,,"98,854",10.29,,0.9,1.08,1.16,1.25,1.07,1.1,1.15,-0.29,-0.16,-0.18,-0.19,-0.06,-0.17,117 of 370,130 of 370
AVGO,336.1,,,,"319,154",,,36.91,1.46,46.23,-99.02,40.01,,"2,013,471",2.21,,1.0,,,,,,,-0.0,0.6,-0.0,0.53,-0.0,0.65,11 of 370,17 of 370
EXPE,215.19,,,,"8,543",,,31.45,1.33,37.99,-99.04,55.53,,"59,719",0.24,,1.04,0.83,0.89,0.95,1.07,1.1,1.13,0.43,-0.49,0.43,-1.27,0.44,-2.14,124 of 370,166 of 370
FUBO,4.09,,,,"42,189",,,63.42,0.9,-1.24,-99.07,-12.51,,"664,425",1.47,,1.05,1.09,1.18,1.28,1.02,1.0,0.98,0.16,0.19,0.15,0.16,0.15,0.14,55 of 370,42 of 370
AFRM,77.94,,,,"68,277",,,66.79,0.67,-9.07,-99.25,-32.35,,"482,629",4.9,,0.99,1.1,1.2,1.3,0.98,0.98,0.97,0.05,0.02,0.06,0.04,0.06,0.05,40 of 370,53 of 370
NTRA,163.66,,,,"1,344",,,37.77,0.55,-21.88,-99.07,-75.26,,"19,134",29.1,,1.0,1.1,1.18,1.27,1.06,1.24,1.42,-0.0,0.15,-0.0,0.24,-0.0,0.35,233 of 370,232 of 370
SIRI,22.38,,,,"10,606",,,33.5,1.76,-12.78,-99.24,-20.25,,"413,019",1.17,,0.94,0.28,0.31,0.34,0.71,0.69,0.66,-0.34,1.21,-0.29,1.48,-0.24,1.79,113 of 370,62 of 370
LCII,94.6,,,,396,,,32.45,4.12,59.45,-98.66,0.25,,947,4.18,,,,,,,,,,,,,,,306 of 370,346 of 370
CSGS,64.89,,,,30,,,25.11,1.74,-6.3,-99.35,3.45,,68,0.0,,,,,,,,,,,,,,,361 of 370,363 of 370
NVAX,8.34,,,,"13,687",,,72.14,0.87,0.06,-99.15,-19.29,,"338,487",0.94,,0.92,,,,,,,-0.43,0.65,-0.15,0.83,0.19,1.03,95 of 370,72 of 370
ABNB,121.75,,,,"20,436",,,29.33,0.4,4.22,-99.27,-34.54,,"293,409",3.93,,1.01,1.11,1.21,1.31,1.01,1.02,1.05,0.05,0.0,0.05,0.0,0.04,0.0,78 of 370,82 of 370
VATE,4.75,,,,N/A,,,84.78,,,,,,N/A,,,,,,,,,,,,,,,,367 of 370,367 of 370
EGHT,2.21,,,,345,,,60.67,0.84,11.21,-99.07,-16.46,,"4,755",1.04,,,,,,,,,,,,,,,317 of 370,295 of 370
CENX,25.96,,,,"1,958",,,54.52,0.63,-0.35,-99.24,-54.59,,"65,451",4.49,,0.93,1.1,1.19,1.29,1.03,1.05,1.05,-0.19,-0.17,-0.21,-0.2,-0.36,-0.23,208 of 370,160 of 370
VRNS,58.61,,,,"1,700",,,27.62,0.36,-0.94,-99.62,614.29,,"5,048",-0.57,,,,,,,,,,,,,,,214 of 370,292 of 370
WB,12.39,,,,"1,557",,,39.07,3.22,57.32,-99.23,-18.01,,"62,300",-0.05,,,,,,,,,,,,,,,226 of 370,161 of 370
BILI,27.34,,,,"21,564",,,48.13,0.62,-2.31,-99.3,20.3,,"318,540",1.5,,1.0,1.11,1.2,1.3,0.97,0.97,0.97,0.02,-0.21,0.02,-0.25,0.03,-0.19,72 of 370,76 of 370
FWONK,103.96,,,,481,,,20.38,,,,-0.62,,"1,313",4.21,,,,,,,,,,,,,,,300 of 370,337 of 370
ASND,189.74,,,,"2,157",,,34.77,0.51,10.08,-99.04,-35.75,,"9,353",8.2,,0.97,1.11,1.21,1.32,1.01,0.99,0.76,-0.1,-0.03,-0.14,-0.01,-0.49,0.02,198 of 370,267 of 370
JD,35.17,,,,"345,897",,,33.72,2.15,8.62,-98.89,-14.91,,"2,333,317",-0.08,,0.99,0.13,0.12,0.12,22.58,26.2,31.32,-0.03,-6.13,-0.01,-16.88,0.0,-21.5,8 of 370,13 of 370
MTSI,123.88,,,,819,,,32.61,,,,184.38,,"2,974",0.34,,,,,,,,,,,,,,,267 of 370,317 of 370
FOUR,79.78,,,,"4,663",,,39.42,0.46,2.2,-99.35,-35.02,,"43,956",3.85,,0.94,1.11,1.2,1.31,0.99,0.97,0.94,-0.37,0.11,-0.36,0.26,-0.28,0.42,149 of 370,184 of 370
FVRR,24.85,,,,"2,093",,,42.66,,,,-21.96,,"29,326",0.74,,,,,,,,,,,,,,,203 of 370,211 of 370
DBX,31.24,,,,"3,694",,,22.43,0.34,-6.47,-99.52,-21.65,,"75,712",0.28,,0.92,1.12,1.22,1.32,0.96,0.95,0.94,0.0,0.02,-0.06,0.04,-0.13,0.06,166 of 370,152 of 370
CAKE,54.3,,,,"1,276",,,30.11,1.24,-0.1,-99.29,-39.95,,"21,264",2.26,,,,,,,,,,,,,,,239 of 370,225 of 370
IQ,2.69,,,,"12,511",,,47.89,0.58,-58.95,-99.44,-17.59,,"605,019",0.23,,1.15,,,,,,,-1.01,1.77,-0.94,-0.01,-0.87,-2.01,97 of 370,48 of 370
Z,77.75,,,,"8,404",,,35.68,0.52,9.45,-98.86,-12.76,,"157,687",1.45,,1.09,,,,,,,0.56,0.08,0.55,0.29,0.4,0.87,125 of 370,110 of 370
RIVN,15.74,,,,"222,742",,,44.06,0.73,1.59,-98.94,50.85,,"2,547,784",1.21,,1.03,1.11,1.2,1.29,0.95,0.97,1.0,-0.05,-0.03,-0.07,-0.1,-0.09,-0.15,17 of 370,12 of 370
LAZR,2.13,,,,"11,032",,,92.25,1.27,-14.84,-99.26,-35.15,,"280,195",-0.49,,0.97,,,,,,,-0.06,1.57,-0.06,2.63,-0.06,3.74,105 of 370,85 of 370
LI,25.81,,,,"39,370",,,43.42,0.68,-25.06,-99.11,-2.25,,"430,979",6.7,,1.04,,,,,,,-0.02,0.57,-0.02,0.76,-0.03,0.92,58 of 370,61 of 370
HTHT,39.15,,,,188,,,27.35,1.91,-51.39,-99.59,-90.42,,"4,729",50.8,,,,,,,,,,,,,,,343 of 370,296 of 370
BBIO,49.0,,,,"3,982",,,41.31,0.67,4.92,-99.2,54.82,,"69,581",0.19,,0.88,1.11,1.2,1.3,0.96,0.93,0.89,-0.31,-0.2,-0.34,-0.2,-0.36,-0.21,160 of 370,155 of 370
BFH,60.06,,,,"1,114",,,35.24,,,,-21.05,,"3,559",0.08,,,,,,,,,,,,,,,252 of 370,313 of 370
ORA,93.71,,,,657,,,22.66,0.64,14.52,-99.54,-0.45,,"36,589",0.02,,1.54,1.07,1.15,1.24,0.02,0.04,0.05,0.99,-0.0,0.82,-0.01,0.64,-0.02,285 of 370,198 of 370
SPR,38.36,,,,"3,653",,,19.52,0.94,84.18,-97.82,-0.73,,"40,459",-0.12,,0.88,,,,,,,-0.18,15.51,-0.32,19.17,-0.35,23.32,167 of 370,190 of 370
MSTR,300.7,,,,"788,312",,,50.42,0.9,16.48,-98.97,83.86,,"2,631,646",1.14,,1.01,1.08,1.18,1.28,1.1,1.1,1.09,0.15,-0.02,0.14,-0.02,0.1,-0.02,4 of 370,11 of 370
CNP,38.31,,,,"2,292",,,15.95,0.98,-6.55,-99.37,70.28,,"32,433",1.31,,,,,,,,,,,,,,,193 of 370,205 of 370
HOPE,10.84,,,,8,,,27.93,,,,0.0,,238,0.0,,,,,,,,,,,,,,,363 of 370,362 of 370
MARA,16.07,,,,"459,945",,,66.03,0.94,-5.19,-99.0,48.34,,"2,639,460",2.02,,0.96,1.1,1.18,1.28,0.98,0.96,0.94,-0.06,0.01,-0.06,-0.03,-0.06,-0.07,7 of 370,10 of 370
SO,93.69,,,,"5,138",,,15.04,2.86,88.54,-98.59,-15.02,,"80,410",1.33,,0.63,0.47,0.47,0.48,0.69,0.76,0.86,-2.35,0.14,-1.83,0.19,-1.25,0.25,144 of 370,146 of 370
CCL,30.48,,,,"65,494",,,36.48,0.51,4.34,-99.22,47.62,,"1,214,586",1.35,,1.0,1.11,1.21,1.31,0.96,0.96,0.96,-0.02,-0.17,-0.03,-0.04,-0.03,0.11,41 of 370,26 of 370
BSY,52.11,,,,635,,,21.29,0.51,1.2,-99.18,1.6,,"59,285",-0.05,,1.09,0.2,0.24,0.29,34.1,30.37,26.49,0.0,19.82,-0.16,4.21,-0.2,-13.29,288 of 370,167 of 370
IMAX,32.4,,,,747,,,28.2,0.53,,-99.66,-0.4,,"6,215",0.08,,2.23,,,,,,,-0.51,0.32,-0.91,0.19,-4.33,0.28,275 of 370,286 of 370
NET,218.2,,,,"11,457",,,37.33,0.61,2.02,-99.05,24.9,,"162,815",1.27,,0.95,1.11,1.2,1.3,0.94,0.94,0.95,0.07,0.04,0.05,0.04,0.03,0.04,103 of 370,108 of 370
WDC,107.21,,,,"40,095",,,32.44,0.94,-1.85,-99.43,-9.78,,"405,008",4.01,,0.95,,,,,,,-0.08,-0.95,-0.08,-1.1,-0.08,-1.3,57 of 370,66 of 370
UBER,97.6,,,,"78,116",,,31.49,0.41,-0.52,-99.08,-8.43,,"1,421,778",1.31,,1.0,1.11,1.21,1.31,0.97,0.96,0.95,0.04,-0.0,0.02,-0.06,0.01,-0.12,35 of 370,22 of 370
BXMT,18.63,,,,"1,397",,,20.09,5.06,25.14,-98.67,-7.05,,"76,187",1.08,,,,,,,,,,,,,,,230 of 370,150 of 370
PTON,8.42,,,,"86,654",,,71.93,0.88,13.28,-98.99,233.64,,"648,052",1.07,,0.84,,,,,,,-0.12,-0.26,-0.13,-0.18,-0.14,-0.09,33 of 370,45 of 370
PCRX,25.65,,,,204,,,33.04,,,,0.99,,"2,266",1.03,,,,,,,,,,,,,,,337 of 370,328 of 370
ITRI,122.71,,,,"1,668",,,26.41,0.45,34.86,-99.1,0.0,,"4,898",-0.2,,1.0,,,,,,,0.5,0.26,0.98,0.37,1.51,0.49,216 of 370,293 of 370
NTNX,76.46,,,,"7,639",,,32.56,0.41,7.41,-99.16,103.49,,"104,655",-0.13,,0.92,1.1,1.21,1.31,1.08,1.01,0.94,-0.04,-0.5,-0.04,-0.53,-0.04,-0.55,127 of 370,126 of 370
BA,213.53,,,,"124,080",,,26.06,0.4,3.17,-99.05,-2.86,,"1,044,737",2.91,,1.0,1.11,1.21,1.32,1.0,0.99,0.98,0.02,-0.08,0.01,-0.12,0.01,-0.17,25 of 370,29 of 370
ZS,286.66,,,,"10,321",,,30.62,0.46,8.33,-99.18,-37.8,,"114,771",1.8,,0.98,1.11,1.21,1.31,1.03,1.04,1.04,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,116 of 370,125 of 370
SENS,0.46,,,,"1,162",,,51.37,1.54,15.52,-99.57,-39.1,,"94,575",1.08,,,,,,,,,,,,,,,247 of 370,133 of 370
PDD,131.01,,,,"69,977",,,37.18,0.46,15.2,-99.23,-39.06,,"1,828,107",1.23,,1.01,,,,,,,0.03,0.01,0.04,-0.02,0.05,-0.05,39 of 370,19 of 370
HASI,29.7,,,,356,,,34.27,2.67,462.11,-99.24,0.56,,"18,388",0.39,,,,,,,,,,,,,,,316 of 370,235 of 370
HLIT,9.9,,,,256,,,37.16,0.53,1.59,-98.92,-25.36,,"4,131",0.24,,,,,,,,,,,,,,,330 of 370,303 of 370
IRTC,171.38,,,,872,,,39.65,0.52,8.0,-99.35,-1.25,,"4,620",2.19,,1.31,1.13,1.21,1.26,0.79,0.89,1.52,1.88,-0.07,2.03,0.11,2.19,0.32,262 of 370,299 of 370
MAXN,3.62,,,,832,,,92.16,1.44,-25.99,-99.36,-7.56,,"49,547",-0.08,,,,,,,,,,,,,,,265 of 370,178 of 370
BKNG,5575.73,,,,"7,918",,,18.88,1.13,-0.69,-99.06,-3.21,,"29,181",1.86,,1.26,0.96,1.0,1.04,0.76,0.81,0.86,0.54,1.06,0.54,2.59,0.54,4.27,126 of 370,212 of 370
GH,60.18,,,,"10,824",,,51.95,0.7,14.8,-99.14,81.79,,"53,670",-0.15,,1.06,1.1,1.19,1.29,1.01,1.04,1.07,-0.25,-0.07,-0.32,-0.06,-0.35,-0.05,108 of 370,172 of 370
SMTC,61.63,,,,"3,032",,,52.16,0.63,-0.84,-99.62,17.02,,"30,479",0.9,,0.99,1.1,1.2,1.31,1.01,0.96,0.91,-0.03,0.43,-0.05,0.34,-0.12,0.25,177 of 370,208 of 370
VTR,68.18,,,,"1,655",,,15.09,1.96,5.39,-98.88,-0.96,,"11,264",0.65,,0.47,0.04,0.11,0.31,26.8,11.62,2.9,-1.43,-0.0,-22.2,-0.0,-24.72,-0.0,218 of 370,256 of 370
GCI,4.27,,,,724,,,41.78,0.66,-0.72,-98.91,-0.28,,"15,669",-0.11,,,,,,,,,,,,,,,278 of 370,242 of 370
DKNG,42.92,,,,"58,283",,,34.72,0.5,11.8,-99.25,-29.1,,"650,147",6.78,,1.1,1.11,1.21,1.31,1.0,0.96,0.92,0.13,-0.01,0.12,-0.01,0.11,-0.01,44 of 370,44 of 370
F,11.62,,,,"113,002",,,23.53,2.88,4.02,-98.9,15.44,,"3,307,405",0.37,,1.0,,,,,,,-0.0,-14.04,-0.0,-13.98,-0.0,-13.91,28 of 370,7 of 370
JBLU,4.95,,,,"25,266",,,53.13,0.79,10.48,-99.09,28.27,,"546,511",1.83,,1.0,1.1,1.19,1.29,1.0,0.99,0.99,-0.18,-0.05,-0.19,-0.08,-0.2,-0.12,67 of 370,50 of 370
MSFT,507.03,,,,"340,024",,,15.31,1.15,66.02,-99.11,63.21,,"2,304,698",1.9,,1.04,,,,,,,1.0,0.4,1.05,0.44,1.11,0.5,9 of 370,15 of 370
PENN,19.54,,,,"7,023",,,38.52,0.5,-17.4,-99.26,-39.33,,"127,230",-2.71,,1.23,1.1,1.2,1.31,1.04,1.04,1.04,0.02,0.07,0.02,0.07,0.02,0.07,133 of 370,119 of 370
EXAS,53.68,,,,"1,983",,,37.24,0.52,-4.02,-99.2,-9.16,,"47,383",1.64,,1.0,1.11,1.2,1.31,0.99,1.01,1.04,0.0,0.0,0.0,0.0,0.0,-0.0,207 of 370,179 of 370
DNMR,0.35,,,,287,,,0.0,4.06,0.44,-98.96,0.0,,"21,238",0.0,,,,,,,,,,,,,,,325 of 370,226 of 370
SMCI,46.24,,,,"226,376",,,69.78,0.71,1.7,-98.97,20.37,,"2,315,663",1.42,,1.0,1.1,1.19,1.29,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,16 of 370,14 of 370
TREE,68.59,,,,955,,,55.22,,,,-7.28,,"8,665",1.19,,,,,,,,,,,,,,,258 of 370,270 of 370
UPHL,0.0,,,,N/A,,,91.49,,,,,,N/A,,,,,,,,,,,,,,,,367 of 370,367 of 370
VIAV,12.29,,,,"1,532",,,22.76,0.73,76.92,-99.16,29.61,,"26,699",2.77,,,,,,,,,,,,,,,227 of 370,214 of 370
